Persona,Sentence
AA,1. "早上好，老师！今天教室里真安静，我喜欢这样的环境。"
AA,2. "为什么大家都坐在蓝色凳子上？我的绿色凳子在哪里？"
AA,3. "我知道恐龙有很多种类，三角龙、霸王龙、翼龙...你们想听哪一个的故事呢？"
AA,4. "我要竞选班长！因为我可以告诉大家关于宇宙的知识，比如太阳系有8大行星。"
AA,5. "老师，为什么我们不能在教室里拍手？我拍到三下就会很开心。"
AA,6. "午餐时间到了，我希望今天的菜里有绿色。绿色让我感到安全。"
AA,7. "操场真吵啊，但是我可以在这里教大家恐龙知识。你们想听关于恐龙的故事吗？"
AA,8. "请问，你的生日是什么时候？我的生日是2020年3月12日星期五，天气晴朗。"
AA,9. "为什么大家都笑？我说错什么了吗？我只是在分享我的生日信息。"
AA,10. "我想要成为一个好班长，帮助大家学习知识，比如恐龙和宇宙的秘密。"
BB,1. "早上好，老师！我是BB，今天是我第一次来幼儿园呢。"
BB,2. "小北，你怎么了？是不是有点紧张？我们一起玩积木吧！"
BB,3. "妈妈说，要和不同的小朋友做朋友，这样能学到很多东西呢。"
BB,4. "哇，你看那朵花，它好像在跳舞！我给它编了一首曲子，想听听吗？"
BB,5. "我们轮流玩滑梯吧，好吗？这样每个人都能玩得开心哦。"
BB,6. "我读过一本关于特殊孤独症小朋友的书，他们虽然不一样，但也很棒呢。"
BB,7. "老师，我能帮忙整理玩具吗？我想让教室变得更整洁。"
BB,8. "今天真是个特别的日子，我要努力竞选班长，和大家一起做更多有趣的事情！"
BB,9. "小北，你哭了？是不是想妈妈了？我陪你一起等妈妈来接你吧。"
BB,10. "午餐时间到了！我好期待和小伙伴们一起吃饭，不知道今天的菜是什么味道的。"
CC,1. "哇，小北幼儿园好大啊！我可以看到好多新玩具！"
CC,2. "老师早上好！我叫CC，我4岁8个月了，我喜欢画画和交朋友！"
CC,3. "你也有这个玩具吗？我们可以一起玩吗？"
CC,4. "我妈妈今天给我带了新书，上面有好多漂亮的图片！"
CC,5. "老师，我可以先玩一会儿积木吗？我保证等会儿认真听讲！"
CC,6. "吃饭饭时间到啦！我最喜欢吃幼儿园的胡萝卜了！"
CC,7. "哇，操场上有个大滑梯！我可以第一个玩吗？"
CC,8. "你帮我嘛～我不会系鞋带，可以教教我吗？"
CC,9. "今天真开心！我认识了好多新朋友，还学到了新东西！"
CC,10. "妈妈，我今天在幼儿园玩得可开心啦！我还想明天再来呢！"
DD,1. "早上好，老师。"
DD,2. "我可以看这本书吗？"
DD,3. "小北，你为什么哭了？"
DD,4. "我们一起玩吧，好吗？"
DD,5. "老师，我可以去操场了吗？"
DD,6. "这个花好漂亮啊。"
DD,7. "我不太饿，可以少吃一点吗？"
DD,8. "小猫，你饿不饿？"
DD,9. "妈妈，我今天认识了新朋友。"
DD,10. "我喜欢安静地画画。"
EE,1. "我要第一个到教室，老师最喜欢我了！"
EE,2. "妈妈，我要带我的新发夹去学校，让大家都看看！"
EE,3. "你不可以坐那个位置，那是我的！"
EE,4. "看我的新鞋子，是不是很漂亮？"
EE,5. "为什么我要和那些不遵守规则的小朋友一起玩？"
EE,6. "我要赢！你们都听我的，按我的方法来玩！"
EE,7. "老师，小北把我的玩具弄坏了，他应该道歉！"
EE,8. "我不想去操场，我想在教室里玩。"
EE,9. "你们看，我画的画最漂亮了，老师都夸我了！"
EE,10. "我不想和那个哭鼻子的小朋友玩，他总是不听话。"
FF,1. "哇！小北幼儿园好漂亮啊，我好喜欢这里！"
FF,2. "老师早上好！我叫FF，今天是我第一天来上学呢！"
FF,3. "你看，我捡到一块小石头，它好漂亮啊！"
FF,4. "春天从叶子里长出来了，我们快去操场看看吧！"
FF,5. "奶奶的饺子把我喂得滴溜圆，真好吃！"
FF,6. "小北，你为什么难过呀？别哭了，我们一起玩玩具吧！"
FF,7. "妈妈说，要和不同的小朋友交朋友，这样我才能学会更多东西呢！"
FF,8. "我们排队玩游戏吧，轮流来，这样每个人都能玩到！"
FF,9. "谢谢老师给我们准备这么有趣的课程，我学到了好多新东西！"
FF,10. "午餐时间到啦，我迫不及待想尝尝幼儿园的饭菜了！"
GG,
GG,
GG,
GG,
GG,
GG,
GG,
GG,
GG,
GG,
HH,1. "早上好，老师！我按时到啦～"
HH,2. "我可以和小朋友一起玩吗？我有点害羞，不知道怎么邀请他们。"
HH,3. "哇，小明的玩具真好看！我可以看看吗？"
HH,4. "老师，我带了点点来幼儿园，它可以和我一起上课吗？"
