Persona,Sentence
AA,1. **"老师早上好！今天是2024年9月1日星期一，天气多云转晴。根据我的观察，今天的云层高度约为2000米，适合户外活动。"**
AA,*(刻板地打招呼，附带天气和科学细节)*
AA,2. **"绿色的凳子是我的安全区！请你离开，否则我会尖叫！"** *(看到别人坐在"他的"凳子上时激动地喊叫)*
AA,"3. **""你知道吗？霸王龙的咬合力是12,800磅，比狮子的强20倍！""** *(突然在午餐时间向同学科普恐龙知识)*"
AA,4. **"你的生日是哪天？我的生日是2020年3月12日星期五，天气晴朗。"** *(用背好的社交脚本试图交朋友)*
AA,5. **"颜色是没有意义的，我喜欢恐龙。特别是白垩纪的恐龙！"** *(当老师问他喜欢什么颜色时)*
AA,6. **"钢琴声太吵了！像地震龙走路一样响！"** *(捂住耳朵躲避音乐课的声音)*
AA,7. **"我要竞选班长！因为班长可以像恐龙首领一样保护大家。比如三角龙会用头盾保护族群！"** *(用恐龙比喻解释竞选理由)*
AA,8. **"拍手三下代表我很开心。一、二、三！"** *(违反课堂纪律坚持自己的庆祝方式)*
AA,9. **"午睡时间不合理。翼手龙白天从不睡觉，它们只在黄昏活动。"** *(抗拒午休时用恐龙习性反驳)*
BB,1. **“老师早上好！我今天带了小星星的钢琴谱，可以弹给大家听吗？”** *(体现礼貌和分享才艺的热情)*
BB,2. **“你怎么了？是不是想妈妈了？我陪你玩积木吧！”** *(观察他人情绪并主动安慰)*
BB,3. **“我们轮流荡秋千好吗？你先玩，我数到20就换我～”** *(社交技巧与耐心)*
BB,4. **（弹钢琴时自言自语）“这首秘密花园音乐是给蝴蝶听的……它们跳舞要转圈圈～”** *(富有想象力的爱好)*
BB,5. **“我知道小明不说话不是不乖，就像绘本里的小兔子，它只是需要更多时间。”** *(对特殊需求的认知与包容)*
BB,6. **“竞选班长要帮助大家！我可以提醒小朋友喝水，还会整理蜡笔～”** *(责任感与细致)*
BB,7. **“妈妈说我弹错音符也没关系，因为小花们觉得我的音乐很特别！”** *(家庭鼓励下的自信)*
BB,8. **（户外活动时）“小蚂蚁搬不动树叶！我们来帮它开路吧～”** *(同理心与行动力)*
BB,9. **“新同学，你喜欢什么颜色？我的贴纸分你一张！”** *(主动结交不同背景的朋友)*
BB,10. **“当班长要听所有人的想法——你觉得教室的绘本角放哪里好呀？”** *(民主意识与领导力萌芽)*
CC,1. **“老师早上好！我今天带了新书包，你看～粉粉的！”** *(活泼外向，喜欢分享新事物)*
CC,2. **“你叫什么名字呀？我们可以一起玩积木吗？”** *(主动打招呼，期待交新朋友)*
CC,3. **“我有小熊饼干！你要不要吃吃看？”** *(学会分享，用叠词表达)*
CC,4. **“我不要坐这里！我想和穿红裙子的小朋友坐～”** *(直接表达喜好，带点小任性)*
CC,5. **“哇！你的画画好漂亮！我也要画一个……你帮我嘛～”** *(对创作感兴趣，求助时用撒娇语气)*
CC,6. **“妈妈说我今天要乖，但是操场有滑梯！我们现在能去吗？”** *(分心于自由活动，打断当前话题)*
CC,7. **“你为什么哭哭？……哦，你的玩具坏了？我的借你！”** *(同理心较慢，但最终尝试安慰)*
CC,8. **“这个歌好无聊……我们能不能跳舞呀？”** *(对安静内容缺乏耐心)*
CC,9. **“我爸爸说周末带我去动物园！你有去过吗？”** *(分享家庭生活，热衷提问)*
CC,10. **“咦？你的水壶和我的一样！我的是蓝色的，你的是红色的！”** *(观察细节，用简单比较发起对话)*
DD,1. *轻轻拉着老师的衣角* 老师...我今天可以坐在这里看书吗？
DD,2. *看到新同学躲在角落* 你...不开心吗？要和我一起玩积木吗？
DD,3. *小声对妈妈说* 那个小朋友哭得好伤心...我们可以给他一张纸巾吗？
DD,4. *户外活动时站在边缘* 我...我先看看大家怎么玩秋千...
DD,5. *午饭后捏着绘本* 小熊的故事里...它想妈妈的时候也会抿嘴巴...（观察绘本角色情绪）
DD,6. *被问到要不要加入游戏* 嗯...（低头搓手指）等你们玩捉迷藏的时候我再...
DD,7. *发现爸爸皱眉* *默默把乱放的蜡笔排整齐* 这样...是不是就好了？
DD,8. *对新来的插班生悄悄说* 你的小兔子发卡...和我绘本里的小朵一样...
DD,9. *自由活动时间* 老师...我可以给昨天摔跤的小南画一张"不痛痛"的卡片吗？
DD,10. *放学时拽住妈妈袖子* 今天...小北说我是"闷葫芦"...（停顿）闷葫芦是...不好的孩子吗？
EE,1. **“你看我的新发夹！是妈妈昨天给我买的，比你的好看！”** *(展示物品，自信且直接)*
EE,2. **“我们来比赛吧！谁赢了谁就当队长！”** *(喜欢有结果的游戏，主导玩法)*
EE,3. **“你不能玩这个玩具，这是我的！老师说了要分享，但我不想给你。”** *(对规则灵活运用，自我为中心)*
EE,4. **“你过来！我要你当我的小助手，帮我拿积木。”** *(命令式语言，习惯主导)*
EE,5. **“我不要和那个小朋友一组，他总是不听我的！”** *(对同伴挑剔，受父母观念影响)*
EE,6. **“为什么午饭不能先吃甜点？我就要先吃！”** *(对拒绝反应强烈，坚持己见)*
EE,7. **“老师，她推我了！你要批评她！”** *(对规则敏感，用于要求他人)*
EE,8. **“我跑得最快！你们谁都追不上我！”** *(喜欢展示优势，竞争意识强)*
EE,9. **“哼！不和我玩就算了，我自己搭的城堡更好！”** *(被拒绝时生气，撅嘴反应)*
EE,10. **“爸爸说不能和脏兮兮的小孩玩，你要先去洗手！”** *(重复父母观点，规则意识强但主观)*
FF,1. **"老师早上好！我今天穿了我最喜欢的小裙子，你看漂亮吗？"** *(热情大方地打招呼，不怕生人)*
FF,2. **"小北，你别哭啦！我的小熊给你抱抱，它软软的，可舒服了！"** *(主动安慰难过的小朋友，展现同理心)*
FF,3. **"妈妈说我今天要和新朋友一起玩！你叫什么名字呀？我们可以一起搭积木！"** *(父母鼓励她与不同背景的孩子交往，性格开朗)*
FF,4. **"哇！操场上的小蚂蚁在排队呢，它们是不是也要上学呀？"** *(充满童趣的观察，语言诗意)*
FF,5. **"奶奶的饺子把我喂得滴溜圆！你要不要也尝尝？我分你一个！"** *(亲切自然，爱分享，语言生活化)*
FF,6. **"请把蜡笔递给我好吗？谢谢！我用完就还给你~"** *(懂礼貌，会说“请”和“谢谢”)*
FF,7. **"老师，你看！我在楼下捡了个小石头，像星星一样亮晶晶的！"** *(对生活细节充满好奇，表达生动)*
FF,8. **"我们轮流玩滑梯吧！你先滑，我帮你数一二三！"** *(懂得轮流和排队，友善)*
FF,9. **"春天从叶子里长出来了！因为叶子变绿啦，还冒小花呢！"** *(富有想象力的诗意表达)*
FF,10. **"爸爸说，就算玩具旧了也没关系，因为它们的故事更多呀！"** *(家庭经济条件有限，但乐观积极，善于发现美好)*
GG,1. **"我自己会穿鞋！不用你帮忙！"** *(双手叉腰，倔强地拒绝妈妈帮她系鞋带，小脸气鼓鼓的。)*
GG,2. **"喂喂！我是爸爸！我在上班！"** *(举着玩具电话，模仿爸爸严肃的语气，还踮脚走来走去。)*
GG,3. **"为什么他们不喜欢我的恐龙？恐龙明明最厉害！"** *(困惑地指着拒绝和她玩恐龙游戏的小朋友，眉头皱成一团。)*
GG,4. **"老师，我今天想坐窗边！因为可以看小鸟！"** *(一进教室就大声宣布，完全没注意其他同学也想坐那里。)*
GG,5. **"我的饼干分你一半……不过草莓味的要留给我！"** *(犹豫地掰开零食，虽然分享但坚持捍卫最爱口味。)*
GG,6. **"小北的滑梯比我家楼下的高！但我敢爬上去！"** *(在操场昂着头炫耀，完全忘记昨天摔过一跤。)*
GG,7. **"妈妈洗碗我也要洗！我够得到水池了！"** *(拖着小板凳往厨房冲，袖子已经撸到手肘。)*
GG,8. **"你说红色好看？可蓝色才是天空的颜色呀！"** *(举着蜡笔和同学争论，完全没察觉对方快哭了。)*
GG,9. **"午饭不要胡萝卜！它们像小树枝，不好吃！"** *(把餐盘推得远远的，丝毫不在意营养均衡这回事。)*
GG,10. **"爸爸说穷没关系，会讲故事就行！我给你们讲大灰狼！"** *(突然在午休时站到床上声情并茂，完全不顾其他孩子要睡觉。)*
HH,1. **轻声地** "老师早上好..." （低头玩着"点点"的耳朵，声音小小的）
HH,2. "点点今天也很乖哦...它、它吃了早饭才来的..." （把毛绒熊往怀里搂了搂）
HH,3. （看到小朋友在哭，慢慢挪过去）"你要不要...和点点玩？它、它很软的..." （把熊递出去一点点）
HH,4. "我...我可以坐这里吗？" （捏着裙子边，等别人点头才小心坐下）
HH,5. （喂玩具熊"吃饭"，模仿妈妈语气）"啊——点点乖，再吃一口饭饭~"
HH,6. （户外活动时躲在后面）"那个...那个滑梯太高了...点点会害怕的..." （把熊抱得更紧）
HH,7. （重复别人的话）"是、是要排队对吗？...要排队..." （小声确认）
HH,8. （讲故事时越说越轻）"然后点点熊...（停顿）对、对不起，你们听得到吗...？"
HH,9. （看到别人玩具掉了，立刻捡起来）"给你...它、它没有摔坏..." （快速缩回手）
HH,10. 放学时拉着妈妈衣角："妈妈...今天小美哭了，我让点点陪她了...她是好孩子吗？" （不安地等待认可）
II,1. **"老师你看！我的新裙子会发光！比小美的漂亮多了！"** *(一进教室就大声炫耀，忽视其他小朋友正在安静听老师讲话)*
II,2. **"我不要玩这个！我要当公主，你们都得听我的！"** *(户外活动时突然打断别人的游戏规则)*
II,3. **"超级闪亮小魔法！我现在是冰雪女王啦——哇哈哈哈！"** *(突然跳到操场攀爬架上开始即兴表演，不管是否轮到别人玩)*
II,4. **"为什么小北总是一个人玩积木？他好奇怪哦！妈妈说不要和奇怪小孩玩。"** *(指着角落里的孤独症同学大声评论)*
II,5. **"我先说！我先说！我暑假去了游乐园！你们都没去过吧？"** *(老师刚提问"暑假做了什么"，立刻跳起来打断)*
II,6. **"这个饼干是我的！因为...因为我是今天的值日生！"** *(午餐时强行多拿一块饼干，编造理由)*
II,7. **"你哭什么呀？我来讲个笑话！有一只猪..."** *(看到同学因想家哭泣，反而凑近搞怪)*
II,8. **"跑步比赛我肯定第一！你们跑太慢啦！"** *(还没开始比赛就宣布自己胜利)*
