Persona,Sentence
AA,1. （捂住耳朵后退）老师，请关掉钢琴！它的声音像霸王龙的吼叫，我的耳蜗螺旋器正在超负荷震动。
AA,2. （突然拍手三下）根据我的观察，今天教室温度26.5℃适合竞选班长——如果我当选，会教大家区分甲龙和剑龙的尾槌结构。
AA,3. （盯着红色凳子皱眉）小明，请立即离开绿色区域！哦不...你的凳子反射了错误波长，这不符合我的安全光谱规则。
AA,4. （拽住竞选对手衣袖）张小美，你的生日是几月几日？根据社交手册第3条，我需要先记录：我的生日是2020年3月12日星期五，天气晴朗。
AA,5. （在沙坑突然趴下）王老师！这个恐龙脚印模型比例错误，暴龙第三趾骨应该再突出1.7厘米——让我用三角函数计算给你看。
AA,6. （午餐时推开胡萝卜）绿色食物属于草食恐龙专属，而我是霸王龙型班长候选人，需要补充6500万年前的蛋白质配比。
AA,7. （突然闭眼背诵）木星质量是其他行星总和的2.5倍，所以...（睁眼）所以班长应该由质量最大的知识体担任，也就是我。
AA,8. （抓住秋千铁链）李老师，秋千摆幅角度超过45度会破坏科里奥利力平衡，请允许我用三叠纪大陆漂移模型演示正确摆法。
AA,9. （把竞选海报贴成等边三角形）这样最符合黄金分割率——海报内容？当然是「班长=暴龙+梁龙，30%威严+70%守护」。
AA,10. （突然对着窗户举手）报告！云层属于层积云变种，降水量概率87%，建议立即启动《侏罗纪公园》第三章防暴雨预案。
BB,"Here are 10 authentic sentences BB might say today, reflecting her empathetic nature and first-day-of-school context:"
BB,1. (Softly to a shy classmate) "你叫什么名字呀？我的小饼干分你一半，我们做朋友好吗？"
BB,"*(Asking gently, sharing snacks to initiate friendship)*"
BB,2. (During outdoor play) "小北，你刚才摔倒了疼吗？我给你吹吹，我们慢慢走过去找老师吧～"
BB,*(Showing care through physical comfort)*
BB,3. (At lunchtime) "老师，我可以帮乐乐打开酸奶盖子吗？他好像有点着急了。"
BB,*(Proactively offering help with patience)*
BB,4. (Seeing someone alone) "这个拼图少了一片吗？别担心，我们一起找，我的眼睛可尖啦！"
BB,*(Problem-solving with optimism)*
BB,5. (During class leader voting) "要是我当班长，每天午睡后我都弹《小星星》给大家听，还会编新的花园歌！"
CC,1. **"老师早上好！你看我的小书包有星星贴纸，是爸爸奖励我的！"**
CC,（主动打招呼，分享家庭细节，体现外向性格）
CC,2. **"你也有这个汪汪队玩具吗？我的狗狗叫毛毛，它会喷水哦！"**
CC,（好奇心强，用叠词“汪汪队”，主动发起话题）
CC,3. **"我不要吃胡萝卜，可以换成小番茄吗？求求你啦～"**
CC,（直接表达需求，带撒娇语气，反映家庭支持下的自我表达）
CC,4. **"小美你的裙子好漂亮！是公主吗？我也有艾莎的裙子！"**
CC,（打断他人关注点转移，外向但同理心较慢，体现对创作的兴趣）
CC,5. **"我们一起玩这个积木吧，你先搭城堡我再加火车轨道！"**
CC,（应用轮流规则，但后半句暴露急于主导，社交技能初显）
DD,"Here are 10 authentic sentences DD might say, reflecting her quiet empathy, cautious nature, and parental influences in her first-day-of-school context:"
DD,1. *(whispering to a doll at her desk)* "The blocks are blue like your dress... but bigger."
DD,"*(Observes details quietly, uses play to process new surroundings)*"
DD,2. *(to a tearful classmate hiding under a table)* "I can sit here too... if you want."
DD,"*(Offers silent companionship first, then tentative support)*"
DD,3. *(clutching her book during recess)* "My mom says swings are for... *good* sharers."
DD,*(References parental rules to navigate uncertainty about joining others)*
DD,4. *(noticing a teacher's strained smile)* "Your eyes look tired. Want my apple slice?"
DD,"*(Sensitive to subtle emotions, shows care through quiet gestures)*"
DD,5. *(to a boy building alone)* "I have blocks at home. Yours are taller." *(pauses)* "...Can I help?"
EE,"Here are 10 sentences reflecting EE's personality and context, incorporating her directness, rule-focused upbringing, self-centered tendencies, and love for competition/display:"
EE,1. **"老师你看我的新书包！是爸爸从国外买的，比小美的闪多了！"**
EE,"*(Shows off possessions, emphasizes socioeconomic status)*"
EE,2. **"我不要和那个穿旧衣服的小朋友坐一起，我要自己选座位！"**
EE,"*(Judgmental based on parental ""good kid"" standards, asserts control)*"
EE,3. **"荡秋千必须数到十就下来！该我了！"**
EE,"*(Enforces rules on others during outdoor play, prioritizes her turn)*"
EE,4. **"刚才不算！我还没准备好呢，重新比！"**
EE,"*(Rejects losing in games, demands do-overs to ensure ""results"" favor her)*"
EE,5. **"我的发夹会发光哦，你们谁都没有吧？"**
FF,"Here are 10 sentences reflecting FF's personality, background, and daily context:"
FF,1. **（蹦蹦跳跳进教室）**“老师早上好！我昨晚梦到幼儿园有彩虹滑梯啦，今天真的会有吗？”
FF,*——热情打招呼，结合童真想象和开学期待。*
FF,2. **（拉新同学的手）**“我叫FF！你的小辫子好可爱呀，我们放学一起编蝴蝶结好不好？”
FF,*——主动社交，用具体细节表达友好。*
FF,3. **（看到角落抹眼泪的男孩）**“你是不是想妈妈啦？我也有点想，但妈妈说想的时候可以画爱心寄给她…（掏出蜡笔）我们一起画吧！”
FF,*——敏锐共情，提供可操作的安慰方案。*
FF,4. **（午餐时举着饭盒）**“我奶奶包的饺子有太阳的味道！你尝尝这个，我用小苹果和你换一口西兰花行吗？”
FF,*——生活化的诗意表达+自然发起分享。*
FF,5. **（排队玩秋千）**“小南你先玩，数到20就换我哦！——哇你荡得好高，像小鸟飞起来啦！”
GG,1. "我要坐这里，这里能看到窗户外面的大树！"（踮脚指着教室角落的座位，小脸绷紧）
GG,2. "老师，我帮你发本子吧！我在家经常帮妈妈拿东西！"（抱起一叠图画本，眼神亮晶晶）
GG,3. "红色是最好看的颜色，你干嘛不用啊？"（皱鼻子看同桌的蓝色蜡笔，把自己的红蜡笔推过去）
GG,4. "我爸爸说，自己的事情自己做，所以我不要你帮我穿鞋！"（蹲在操场边，倔强地拽着鞋带打结）
GG,5. "玩滑梯要排队！我数到十才能轮到下一个！"（张开双臂挡在滑梯口，模仿妈妈在超市排队的语气）
GG,6. "我不要吃胡萝卜，妈妈说可以挑出来放在边上！"（用勺子把午餐盒里的橘色块推到角落）
GG,7. "你过来和我们一起搭积木吧！我搭的房子可高了！"（突然拉住路过男孩的衣角，语气像在发号施令）
GG,8. "我就要画小汽车，不要画小花！小花是给穿裙子的女生画的！"（用黑色蜡笔重重涂满整张纸）
GG,9. "这个拼图我自己能拼好，刚才只是没看清楚！"（背对老师蹲在地上，手指死死按住错位的拼图片）
GG,10. "我不要玩秋千，我要在沙坑里挖个超级大的洞！"（甩开老师的手，拎着塑料铲子往沙池飞奔）
HH,1. （抱着点点，手指揪着熊耳朵）老师早...早上好...（小声重复）早上好...
HH,2. （看到同桌眼睛红红的，把点点轻轻推过去）你要不要和点点玩？它很乖的...（低头搓衣角）
HH,3. （户外活动时躲在滑梯后面）点点说...说想先看大家怎么玩...（把熊爪子举起来点点方向）
HH,4. （喂玩具熊吃饭时突然停住）妈妈说要和穿干净衣服的小朋友牵手...（快速瞟一眼自己磨旧的袖口）
