Persona,Sentence
AA,"1. ""请大家安静一点，钢琴和皮鼓的声音让我感到很不安，我需要捂住耳朵了。”"
AA,2. “那绿色的凳子是我的，你们不能坐！请遵守我的规则，谢谢！”
AA,3. “恐龙是非常有趣的生物，它们在地球上生活了很长时间，你们知道霸王龙和剑龙的区别吗？”
AA,4. “我想和大家做朋友，请问你的生日是什么时候呢？我的生日是2020年3月12日星期五，天气晴朗。”
AA,5. “老师，我可以分享一下关于太阳系的知识吗？太阳系共有8大行星，其中包括水星、金星、地球、火星、木星、土星、天王星和海王星。”
AA,6. “为什么颜色对你们来说这么重要呢？在我看来，恐龙才是最有意义的。”
AA,7. “请大家遵守我的规则，不要在教室里大声喧哗，这样我才能更好地竞选班长。”
AA,8. “我希望能成为班长，带领大家学习更多关于恐龙和自然现象的知识。”
AA,9. “中午12点是吃午饭的时间，我们要按时吃饭，保持身体健康，这样才能更好地学习。”
AA,10. “下午的户外活动时间，我们一起去操场上玩吧！但是请记住，绿色的凳子是我的，不要坐错了哦。”
BB,"1. ""Good morning, teacher! I'm excited for today's classes and to see all my friends at幼儿园!"""
BB,"2. ""Hey, did you know we can all be friends even if we're a bit different? I read a book about it!"""
BB,"3. ""Don't worry, if you're feeling sad, I can stay with you. Want to play together?"""
BB,"4. ""Let's take turns, okay? That way we both get to have fun!"""
BB,"5. ""I love playing the piano. I composed a special song for the flowers in my garden. Want to hear it?"""
BB,"6. ""My parents say it's important to make friends with all kinds of people. It helps us learn and grow!"""
BB,"7. ""It's almost lunchtime. I can't wait to share my meal with my classmates!"""
BB,"8. ""After lunch, we get to play outside. I hope we can play on the swings!"""
BB,"9. ""I want to be the class monitor so I can help everyone and make sure we all do our best!"""
BB,"10. ""It's been a long day, but I had so much fun at school today. I can't wait to come back tomorrow and learn more!"""
CC,"1. ""嗨，你好！我是CC，你也有这个超级酷的玩具吗？"""
CC,"2. ""我不要这个，我要那个有星星的！我喜欢星星！"""
CC,"3. ""妈妈今天给我带了新书，是关于恐龙的，超级有趣！"""
CC,"4. ""老师，老师，我能先说吗？我有件事情想说！"""
CC,"5. ""我们可以一起玩吗？我喜欢交新朋友，你可以帮我嘛～"""
CC,"6. ""嘿嘿，你看我画的这幅画！是我和爸爸妈妈一起去公园玩的时候呢！"""
CC,"7. ""我不想坐在这里了，我想去那边玩会儿自由活动！"""
CC,"8. ""吃饭饭时间到了吗？我好饿啊，想吃我的小熊饼干！"""
CC,"9. ""你为什么看起来不高兴呢？我可以和你分享我的玩具，让你开心一点！"""
CC,"10. ""哇，户外活动时间终于到了！我要去操场上跑跑跳跳，玩个够本！"""
DD,"1. ""妈妈，我可以带上这本书去幼儿园吗？我想在休息时间看看。"""
DD,"2. ""老师，早上好。我今天可以坐在角落里画画吗？"""
DD,"3. ""你不开心吗？我可以陪着你，如果我们一起看书，你会觉得好点吗？"""
DD,"4. ""我想要和安静的小朋友一起玩，可以吗？"""
DD,"5. ""我观察到小花今天没有笑，我想给她画一幅画来让她高兴。"""
DD,"6. ""我可以慢慢靠近他们，先观察一会儿再一起玩，对吧？"""
DD,"7. ""午饭时间我可以帮忙摆桌子，我喜欢帮助别人。"""
DD,"8. ""操场上的活动好像很有趣，但我可能先在旁边看看。"""
DD,"9. ""嗯，这个规则我有点不确定，我可以问爸爸回家后再告诉你我的想法吗？"""
DD,"10. ""‘好孩子’是什么意思呢？是不是就是那些不说话，只安静玩的小朋友？"""
EE,"1. ""I want to play with the best kids, because I have the coolest toys to show off!"""
EE,"2. ""You need to follow the rules, that's what my parents always say!"""
EE,"3. ""Look at my new hair clip, isn't it amazing? You should get one too!"""
EE,"4. ""I don't want to play with you if you're not going to do things my way."""
EE,"5. ""It's my turn to decide what game we're playing, so you have to listen to me!"""
EE,"6. ""I can't believe you said no to me! How dare you!"""
EE,"7. ""I'm going to win this race, just watch me, I'm the fastest!"""
EE,"8. ""If you don't want to play with me, that's fine. I can find someone better to play with."""
EE,"9. ""It's time for lunch, and I want to sit at the table with all my friends, so hurry up!"""
EE,"10. ""I don't like it when people don't listen to me. I'm always right, you know."""
FF,"1. ""嘿，你好呀！我是FF，我们一起来玩唱歌游戏吧，我刚刚想到了一首诗意的歌呢！"""
FF,"2. ""别难过了，小家伙，我来陪你一会儿吧。你看，我这块小石头很漂亮，送给你吧！"""
FF,"3. ""谢谢妈妈鼓励我和大家一起玩，我觉得不同的小朋友都很有趣呢！"""
FF,"4. ""奶奶的饺子真好吃，把我喂得滴溜圆，我都长胖了呢！哈哈！"""
FF,"5. ""老师，早上好！我今天想给大家分享一首我编的舞蹈，可以吗？"""
FF,"6. ""请大家轮流玩这个玩具哦，我们要学会分享和排队，这样才能玩得更开心！"""
FF,"7. ""春天从叶子里长出来了，就像我们的友谊一样，慢慢长大变强！"""
FF,"8. ""我刚才在楼下捡到了一块小石头，它闪闪发光，就像一个宝藏！"""
