Persona,Sentence
AA,"1. ""大家好，我叫AA，我的生日是2020年3月12日星期五，那天的天气晴朗，风速是每小时7公里。"""
AA,"2. ""绿色的凳子是我的安全区，请不要随便坐它，它就像三角龙在洞穴里的感觉一样重要！"""
AA,"3. ""班长应该知道恐龙的知识，比如暴龙有强大的咬合力，可以达到每平方英寸12,800磅！我可以教大家这些知识。"""
AA,"4. ""太阳系里有八颗行星，其中地球是恐龙生活过的地方，我觉得地球很特别。你们喜欢地球吗？"""
AA,"5. ""如果我是班长，我会制定一个恐龙主题的游戏规则，比如只有喜欢恐龙的小朋友可以玩恐龙捉迷藏！"""
AA,"6. ""老师，我可以帮助大家学习恐龙的历史，这样他们也可以知道三叠纪和侏罗纪的区别！"""
AA,"7. ""当我开心的时候，我会拍手三下，像恐龙用爪子打招呼一样，这会让我更有力量！"""
AA,"8. ""我听到操场上的皮鼓声音了，太吵了，我需要闭上眼睛，让自己安静下来。"""
AA,"9. ""如果你告诉我你的生日，我可以告诉你那一天的天气和历史事件，比如恐龙化石在哪里被发现过。"""
AA,"10. ""竞选班长很重要，我想让大家知道，恐龙不仅是历史的一部分，它们教会我们坚韧和适应环境的能力，像我一样！"""
BB,1. **（看到有小朋友站在角落时）**：“你怎么了？别担心，我陪你一起玩吧，好不好？”
BB,2. **（和新同学介绍自己时）**：“你好呀，我叫BB！我们可以一起玩弹钢琴吗？我会弹《小星星》哦！”
BB,3. **（和小朋友一起玩玩具时）**：“我们轮流玩这个积木，好吗？这样大家都会开心！”
BB,4. **（看到小朋友摔倒后）**：“哎呀，你疼不疼？我去帮你拿纸巾，别哭，我陪着你。”
BB,5. **（和老师打招呼时）**：“老师早上好！今天我一定会认真听课，我还想试试竞选班长呢！”
BB,6. **（面对班级竞选时）**：“如果我当班长，我会照顾大家，还会让每个人都有机会说自己的想法！”
BB,7. **（弹琴时对小朋友说）**：“你听听这首曲子，我叫它‘秘密花园音乐’，花朵们会跳舞呢！”
BB,8. **（午餐时间时对小朋友说）**：“你要不要尝尝我的胡萝卜？它很甜，我觉得你会喜欢！”
BB,9. **（书本讨论时）**：“我看过一本书，说有些小朋友需要特别的帮助，我们可以一起帮他们呀！”
BB,10. **（户外活动时对同伴说）**：“我们来比赛跑步吧！但不管谁跑得快，大家都要互相鼓励！”
CC,"1. ""老师早上好！今天我们要玩什么游戏呀？我好期待哦～"""
CC,"2. ""我有一个新书包，你看！它是粉色的，还有小兔兔的耳朵！"""
CC,"3. ""你也有这个玩具吗？我们可以一起玩吗？"""
CC,"4. ""我不要这个菜，我妈妈说我可以吃别的好吃的东西～"""
CC,"5. ""你帮我嘛～这个纽扣我扣不上啦！"""
CC,"6. ""哎呀，你刚说什么？我没听清楚，告诉我嘛～"""
CC,"7. ""今天我画了一张大大的彩虹，小朋友你喜欢彩虹吗？"""
CC,"8. ""我喜欢荡秋千！下午户外活动的时候，我们一起去好吗？"""
CC,"9. ""我觉得这个积木很好玩，你也试试看吧～"""
CC,"10. ""我想讲一个故事！有一天，有一只小兔子，它跑到森林里去了……你知道它碰到了什么吗？"""
DD,1. 小声对老师说：“早上好，我是DD，今天我可以坐哪里？”
DD,2. 在教室里观察一会儿后，轻轻地问一个小朋友：“你喜欢这个玩具吗？”
DD,3. 看到一个小朋友摔倒，她走过去，小声问：“你疼吗？需要帮忙吗？”
DD,4. 对正在哭的小朋友说：“你不开心吗？我可以陪你。”
DD,5. 在操场上，站在树下观察其他小朋友，过了一会儿轻声说：“我也可以玩那个吗？”
DD,6. 吃午饭时，看到旁边的小朋友没动筷子，小声询问：“你是不是不饿？还是饭菜不好吃？”
DD,7. 在户外活动时，对一个玩沙的小朋友慢慢靠近：“我可以一起玩吗？”
DD,8. 晚上回家后对妈妈轻声说：“今天有一个小朋友摔倒了，我帮他拿了纸巾。”
DD,9. 在书角独自看书时，小声对自己说：“这个故事里的小兔子好像有点害怕。”
DD,10. 对老师轻轻地说：“我今天交了一个新朋友，他很好玩。”
EE,"1. **""你过来！我们一起玩这个游戏，我告诉你怎么玩。""**"
EE,(表现出自信和喜欢掌控的特点。)
EE,"2. **""老师，我已经做好了，你看我画得多好！""**"
EE,(喜欢展示自己，寻求关注。)
EE,"3. **""那个小朋友不听规则，我不想跟他玩了。""**"
EE,(对规则敏感，强调其他人遵守规则。)
EE,"4. **""看我的新鞋子，是不是比你的好看？""**"
EE,(喜欢展示自己的东西，并直接表达。)
EE,"5. **""你不可以这样做，老师说不行！""**"
EE,(直接使用规则来要求别人遵守。)
FF,1. **“老师好！我今天穿了我最喜欢的裙子，你看，有小小的花儿在上面！”**
FF,(FF热情地向老师打招呼，表现出她自然大方的性格。)
FF,2. **“小朋友，你的脸怎么皱皱的？是不是不开心？我可以陪你一起玩积木！”**
FF,(她敏感地察觉到同伴情绪，并主动安慰对方。)
FF,3. **“春天从叶子里长出来了，像一个小秘密慢慢打开。你觉得春天是什么样子的呀？”**
FF,(FF喜欢说出诗意的句子，展现她的想象力和语言表达能力。)
FF,4. **“我觉得奶奶的饺子最好吃，因为它们像小船一样，漂在汤里，暖暖的！”**
FF,(她用亲切自然的语言描述生活中的细节，充满童趣。)
FF,5. **“哇，这个石头好闪亮，像星星掉在地上了！你也可以摸摸看。”**
FF,(FF喜欢分享自己的发现，邀请别人加入她的小世界。)
GG,"1. ""老师，我今天自己穿的衣服，你看，好看吧？我觉得我选得特别好！"""
GG,"2. ""为什么你不喜欢这个玩具车？这个颜色很漂亮啊，明明特别好玩！"""
